90,245
,
,
,
,
883,$a장미의 이름 (상) : $b움베르토 에코 장편소설 / $d움베르토 에코 지음 ; $e이윤기 옮김
883,$a장미의 이름 (상) : $b움베르토 에코 장편소설 / $d움베르토 에코 지음 ; $e이윤기 옮김
883,$a장미의 이름 (상) : $b움베르토 에코 장편소설 / $d움베르토 에코 지음 ; $e이윤기 옮김
883,$a장미의 이름 (상) : $b움베르토 에코 장편소설 / $d움베르토 에코 지음 ; $e이윤기 옮김
883,$a장미의 이름 (상) : $b움베르토 에코 장편소설 / $d움베르토 에코 지음 ; $e이윤기 옮김
883,$a장미의 이름 (하) : $b움베르토 에코 장편소설 / $d움베르토 에코 지음 ; $e이윤기 옮김
883,$a장미의 이름 (하) : $b움베르토 에코 장편소설 / $d움베르토 에코 지음 ; $e이윤기 옮김
문620,"$a학술정보의 탐색 및 활용 / $d곽동철, $e노영희 [공] 지음"
문233,$a韓國目錄規則[한국목록규칙] = $xKorean cataloging rules / $d韓國圖書館協會 目錄委員會 編 [한국도서관협회 목록위원회 편]
문880,$a정보문해 = $xInformation Literacy / $d김순희 [저]
문470,$aFoundations of library and information science / $d[by]Rechard E. Rubin
문470,$aFoundations of library and information science / $d[by]Rechard E. Rubin
711.4,"$a國語[국어]와 漢字[한자] / $d金慶洙[김경수], $e朴大福[박대복], $e李澯旭[이찬욱] 共著[공저]"
문010,$a文獻情報學原論[문헌정보학원론] / $d정필모 지음
문010,$a文獻情報學原論[문헌정보학원론] / $d정필모 지음
문010,$a文獻情報學原論[문헌정보학원론] / $d정필모 지음
문030,$a문헌정보학용어사전 / $d한국도서관협회 문헌정보학용어사전 편찬위원회 편
문850,$a신독서지도방법론 / $d손정표 지음
문850,$a신독서지도방법론 / $d손정표 지음
문111,$a도서관론 / $d남태우 저
문111,$a도서관론 / $d남태우 저
문111,$a도서관론 / $d남태우 저
문090,$a문헌정보학 : $b2012년 대한민국학술원 우수학술도서 / $d남태우 저
문111,$a도서관론 / $d남태우 저
문111,$a도서관론 / $d남태우 저
문622,$a참고정보원 = $xBASIC REFERENCE SOURCES / $d박준식 저
743.1,$a(기존 사전과는 완전히 다른 새로운 타입의)910영한영(英韓英)사전 / $d구일영(910) 편
745,$aOxford LEARNER'S GRAMMAR : $bGrammar Finder / $d[by] John Eastwood
743.1,$a뉴우 월드 콘사이스 英韓辭典[영한사전]= $xNew World CONCISE ENGLISH-KOREAN Dictionary/$d時事英語社 編輯局[시사영어사 편집부] [저]
713.02,$a(敎學) 新日用玉篇 (最新版)[신일용옥편] / $d敎學社[교학사] [저]
713.02,$a(文化) 漢韓子解典 (最新版)[한한자해전] / $d文化敎材社[문화교재사] [저]
743.1,$aDONG-A’S Prime ENGLISHH-KOREAN DICTIONARY[동아 프라임 영한사전] / $d두산동아 사서편집국 [저]
325.9,"$a앙트레프레너십 시대의 생활 속 회계 : $b일상부터 취업까지 꼭 알아야 할 기본 회계 / $d정도진, 한형성, 박인선, 배수진, 김진태 [공]지음"
325.9,"$a앙트레프레너십 시대의 생활 속 회계 : $b일상부터 취업까지 꼭 알아야 할 기본 회계 / $d정도진, 한형성, 박인선, 배수진, 김진태 [공]지음"
